Participant	ImageID	Expected	Predicted
FMAU	2414338	NO	YES
VUHU	2316625	YES	YES
VUHU	2349379	YES	YES
7ZBP	2317414	YES	YES
7ZBP	2320456	YES	NO
7ZBP	2324298	YES	YES
7ZBP	2342205	NO	YES
7ZBP	2351443	YES	YES
7ZBP	2379998	YES	YES
7ZBP	2386841	YES	YES
7ZBP	2405054	NO	YES
YE38	2317414	YES	YES
YE38	2323582	YES	YES
YE38	2361163	NO	YES
YE38	2400852	YES	YES
YKWC	2317414	YES	YES
YKWC	2322051	NO	YES
YKWC	2381529	NO	YES
YKWC	2406719	YES	YES
YKWC	285737	NO	YES
YYI0	2317414	YES	YES
YYI0	2323582	YES	YES
YYI0	2324965	YES	YES
YYI0	2364898	YES	YES
YYI0	2382026	NO	YES
YYI0	2396370	YES	YES
HQ59	2319427	NO	YES
HQ59	2322535	YES	YES
HQ59	2353524	YES	YES
HQ59	2365904	NO	YES
HQ59	2367942	YES	YES
M1NX	2317678	NO	YES
M1NX	2326113	YES	YES
M1NX	2353171	YES	NO
M1NX	2358288	YES	YES
M1NX	2363504	YES	YES
M1NX	2398621	NO	YES
OCGX	2322884	YES	YES
OCGX	2349001	NO	YES
OCGX	2363504	YES	YES
OCGX	285734	NO	YES
AFOR	2317852	YES	YES
AFOR	2332066	YES	YES
AFOR	2333939	NO	YES
AFOR	2335250	NO	YES
AFOR	2392417	NO	YES
DVZG	2317852	YES	YES
DVZG	2318165	NO	YES
DVZG	2344937	YES	YES
DVZG	2351443	YES	YES
DVZG	2374010	NO	YES
DVZG	2397212	YES	YES
DVZG	3419	YES	YES
K8FG	2317852	YES	YES
K8FG	2324298	NO	YES
K8FG	2324965	YES	YES
K8FG	2337830	YES	YES
K8FG	2344937	NO	YES
K8FG	2374010	YES	YES
K8FG	2395780	YES	YES
8UXS	2320456	YES	YES
8UXS	2332066	YES	YES
8UXS	2337598	YES	YES
8UXS	2342727	YES	NO
9GVV	2318165	YES	YES
9GVV	2319377	NO	YES
9GVV	2322051	YES	YES
9GVV	2352208	NO	YES
ZDA8	2318165	YES	YES
ZDA8	2322051	YES	YES
ZDA8	2330572	YES	YES
ZDA8	2337830	YES	YES
ZDA8	2341126	YES	YES
ZDA8	2352910	YES	YES
ZDA8	2361479	YES	YES
ZDA8	2400852	YES	YES
ZDA8	3419	YES	YES
CBLF	2318166	NO	NO
CBLF	2326113	YES	YES
CBLF	2326814	YES	YES
CBLF	2365904	YES	YES
CBLF	2367974	YES	YES
CBLF	2372966	YES	YES
CBLF	2395937	YES	YES
CENS	2318166	NO	NO
CENS	2322535	YES	YES
CENS	2347493	YES	YES
CENS	2349001	NO	YES
CENS	2365162	NO	YES
CENS	2380125	YES	YES
CENS	2386490	NO	YES
CENS	2398621	NO	YES
CENS	29	NO	YES
R1W4	2318166	NO	NO
R1W4	2319427	YES	YES
R1W4	2335461	YES	YES
R1W4	2362613	YES	YES
R1W4	2364015	YES	YES
R1W4	2403742	NO	YES
AHXM	2318631	YES	YES
AHXM	2335250	NO	YES
AHXM	2337598	YES	YES
NYL1	2318631	YES	YES
NYL1	2335250	YES	YES
NYL1	2382026	YES	YES
NYL1	285737	YES	YES
XF74	2318631	YES	YES
XF74	2386807	NO	YES
XF74	2395780	NO	YES
XF74	285737	YES	YES
ZSAV	2318631	YES	YES
01OF	2319361	YES	YES
01OF	2326050	YES	YES
01OF	2385290	YES	YES
2MJ5	2319361	YES	YES
2MJ5	2349379	YES	YES
2MJ5	2358288	YES	YES
2MJ5	2362613	YES	YES
2MJ5	2371565	YES	YES
2MJ5	2372966	YES	YES
2MJ5	2378731	YES	YES
2MJ5	2395937	YES	YES
2MJ5	2401881	YES	YES
2MJ5	29	YES	YES
8M6A	2319361	YES	YES
8M6A	2348958	NO	YES
8M6A	2363865	YES	YES
8M6A	2367942	YES	YES
8M6A	2414338	NO	YES
ASPK	2319361	NO	YES
ASPK	2319427	NO	YES
ASPK	2349001	NO	YES
ASPK	2364037	YES	YES
ASPK	2372966	NO	YES
ASPK	2373660	YES	YES
ASPK	2386490	NO	YES
ASPK	2403742	NO	YES
LM4V	2319377	YES	YES
LM4V	2324417	YES	NO
LM4V	2342205	NO	YES
LM4V	2352208	NO	YES
LM4V	2361163	YES	YES
LM4V	2381529	NO	YES
LM4V	2386841	YES	YES
LM4V	2397474	YES	YES
AK57	2353706	YES	YES
AK57	2380870	NO	YES
AK57	2407783	YES	YES
AK57	2413290	YES	YES
LXPU	2319564	YES	YES
LXPU	2326386	YES	YES
LXPU	2354676	YES	YES
LXPU	2373286	YES	YES
LXPU	2395928	YES	YES
LXPU	4446	YES	YES
QGTH	2319564	YES	YES
QGTH	2324702	YES	YES
QGTH	2335138	YES	YES
QGTH	2405721	YES	YES
QGTH	2417782	YES	YES
QGTH	713761	YES	YES
ZU77	2319564	YES	YES
ZU77	2326386	NO	YES
ZU77	2353706	YES	YES
ZU77	2369145	YES	YES
ZU77	2369280	YES	YES
ZU77	2386065	YES	YES
ZU77	2395928	YES	YES
3ICF	2337598	YES	YES
3ICF	2352208	YES	YES
3ICF	2374010	YES	YES
3ICF	2413316	YES	YES
ZG5R	2320456	YES	YES
ZG5R	2333939	YES	YES
ZG5R	2351443	YES	YES
ZG5R	2361479	NO	YES
ZG5R	2364898	NO	YES
ZG5R	2386807	NO	YES
3MXQ	2322051	NO	YES
3MXQ	2330790	YES	YES
3MXQ	2341126	YES	YES
3MXQ	2345740	NO	YES
3MXQ	2361479	NO	YES
DD2F	2322535	YES	YES
DD2F	2347493	YES	YES
DD2F	2367942	YES	YES
DD2F	2367974	YES	YES
DD2F	2383548	NO	YES
IGL8	2322884	YES	YES
IGL8	2363865	YES	YES
IGL8	2367974	YES	YES
IGL8	2377799	YES	YES
IGL8	2401881	YES	YES
T16T	2322884	YES	YES
T16T	2362613	YES	YES
T16T	2364037	YES	YES
T16T	2365162	YES	YES
T16T	2365527	YES	YES
T16T	2401881	YES	YES
BHX9	2381529	YES	YES
BHX9	2396370	YES	YES
BHX9	2401559	YES	YES
EWF4	2323582	YES	YES
EWF4	2324417	YES	NO
EWF4	2330790	YES	YES
EWF4	2342205	NO	YES
EWF4	2381529	YES	YES
EWF4	2406719	YES	YES
EWF4	2413316	YES	YES
V4JN	2324151	YES	YES
V4JN	2324298	YES	YES
V4JN	2342727	NO	YES
V4JN	2345740	NO	YES
V4JN	2364898	NO	YES
V4JN	2379998	YES	YES
V4JN	2392417	YES	YES
WN9O	2324151	YES	YES
WN9O	2330572	NO	NO
WN9O	2330790	YES	YES
WN9O	2335250	NO	YES
WN9O	2337598	YES	YES
WN9O	2352910	NO	YES
WN9O	2382026	NO	YES
WN9O	2413316	YES	YES
YG7B	2324151	YES	YES
YG7B	2342727	YES	YES
YG7B	2397474	YES	YES
YG7B	2400852	YES	YES
YG7B	2406719	YES	YES
ZX4V	2324298	NO	YES
ZX4V	2337830	NO	YES
ZX4V	2364898	YES	YES
ZX4V	2374010	YES	YES
ZX4V	3419	NO	YES
3HFV	2324417	YES	NO
3HFV	2330572	NO	NO
3HFV	2342205	NO	YES
3HFV	2344937	YES	YES
3HFV	2395780	NO	YES
3HFV	2413316	YES	YES
1Q2C	2324702	YES	YES
1Q2C	2346070	YES	YES
1Q2C	2354676	YES	YES
1Q2C	2405794	YES	YES
1Q2C	2417782	YES	YES
23UO	2324702	YES	YES
23UO	2371474	YES	YES
23UO	2381808	YES	YES
23UO	2407783	YES	YES
0NS	2324965	YES	YES
0NS	2333939	YES	YES
0NS	2337219	YES	YES
0NS	285737	YES	YES
JJ74	2324965	NO	YES
JJ74	2361479	YES	YES
JJ74	2397212	YES	YES
JJ74	3419	YES	YES
N1NH	2326050	NO	YES
N1NH	2348958	NO	YES
N1NH	2349001	YES	YES
N1NH	2353171	YES	YES
N1NH	2365758	YES	YES
N1NH	2403742	NO	YES
OY2C	2326050	NO	YES
OY2C	2358288	NO	YES
OY2C	2360775	YES	YES
OY2C	2372159	YES	YES
OY2C	2378731	YES	YES
OY2C	2383548	NO	YES
OY2C	2398621	NO	YES
GBE0	2326386	NO	YES
GBE0	2386367	YES	YES
GBE0	2393114	YES	YES
OKX6	2326386	YES	YES
OKX6	2376679	YES	YES
OKX6	2387889	YES	YES
OKX6	2390563	YES	YES
OKX6	2400297	NO	YES
OKX6	2404438	YES	YES
2SRQ	2326814	YES	YES
2SRQ	2353524	YES	YES
2SRQ	2364037	YES	YES
2SRQ	2371565	YES	YES
2SRQ	2373660	YES	YES
2SRQ	2385290	YES	YES
2SRQ	2395937	YES	YES
2SRQ	2401881	YES	YES
OQOU	2326814	YES	YES
OQOU	2353171	YES	YES
OQOU	2353524	YES	YES
OQOU	2365904	YES	YES
OQOU	2372966	YES	YES
OQOU	2373660	YES	YES
OQOU	2403742	YES	YES
E4F4	2337219	YES	YES
E4F4	2386807	NO	YES
E4F4	2396370	YES	YES
E4F4	2400852	YES	YES
Y6IS	2332066	YES	YES
Y6IS	2351443	YES	YES
Y6IS	2386841	YES	YES
LOEA	2333939	YES	YES
LOEA	2379998	YES	YES
LOEA	2396370	YES	YES
LOEA	2401559	YES	YES
6DRP	2388957	YES	YES
6DRP	2389013	YES	YES
6DRP	2390563	YES	YES
6DRP	2406780	YES	YES
6DRP	4446	YES	YES
MDVL	2335138	YES	NO
MDVL	2345940	NO	NO
MDVL	2353723	NO	YES
MDVL	2376679	YES	YES
MDVL	2388957	YES	YES
MDVL	2389013	YES	YES
MDVL	2403703	NO	YES
MDVL	2404438	YES	YES
MDVL	2412873	NO	YES
P2VD	2335138	YES	NO
P2VD	2344780	YES	YES
P2VD	2345940	YES	YES
P2VD	2400297	YES	YES
P2VD	2408710	YES	YES
VOIE	2337830	NO	YES
VOIE	2395780	NO	YES
VOIE	2405054	NO	YES
LEK3	2341126	NO	YES
36UP	2344780	YES	YES
36UP	2353706	YES	YES
36UP	2360226	YES	YES
36UP	2371474	YES	YES
36UP	2373286	YES	YES
36UP	2386244	YES	YES
36UP	2404384	YES	YES
36UP	2404438	YES	YES
36UP	2412124	YES	YES
36UP	2417782	YES	YES
36UP	713761	YES	YES
BKOE	2344780	YES	YES
BKOE	2412523	YES	YES
O8UQ	2344780	NO	YES
O8UQ	2360226	NO	NO
O8UQ	2404916	NO	YES
AM1X	2345940	NO	NO
AM1X	2381791	NO	NO
AM1X	2393114	NO	YES
AM1X	2400297	NO	YES
AM1X	2417492	YES	YES
EWCX	2345940	YES	NO
EWCX	2381791	YES	YES
EWCX	2395928	YES	YES
EWCX	2399953	YES	YES
EWCX	2406780	YES	YES
EWCX	2412873	YES	YES
8U0V	2346070	YES	YES
8U0V	2389013	YES	YES
8U0V	2393114	YES	YES
8U0V	2407783	YES	YES
8U0V	2408710	YES	YES
FK84	2346070	YES	YES
FK84	2360226	NO	YES
FK84	2394267	YES	YES
FK84	2405794	YES	YES
FK84	4446	YES	YES
IYME	2346070	YES	YES
IYME	2380870	YES	YES
IYME	2400297	YES	YES
IYME	2404384	YES	YES
IYME	2413290	YES	YES
123H	2347493	YES	YES
123H	2371565	YES	YES
123H	2372159	YES	YES
123H	2388996	NO	YES
123H	2398621	YES	YES
123H	285734	NO	YES
123H	29	NO	YES
3E8K	2347493	YES	YES
3E8K	2349379	YES	YES
3E8K	2366812	YES	YES
4LN3	2349379	NO	YES
W6ZM	2353524	YES	YES
W6ZM	2363504	YES	YES
W6ZM	2363865	YES	YES
W6ZM	2395937	YES	YES
BB0Z	2353723	YES	YES
BB0Z	2369280	YES	YES
BB0Z	2375257	YES	YES
BB0Z	2377261	YES	YES
BB0Z	2405794	YES	YES
BB0Z	713761	YES	YES
E5ZN	2353723	NO	YES
E5ZN	2376679	YES	YES
E5ZN	2404916	NO	YES
E5ZN	713761	YES	YES
2S0Y	2354676	YES	YES
2S0Y	2375257	YES	YES
2S0Y	2387889	YES	YES
WOVX	2354676	YES	YES
WOVX	2377261	YES	YES
WOVX	2380870	YES	YES
WOVX	2381791	YES	NO
WOVX	2386244	YES	YES
WOVX	2403703	YES	YES
WOVX	2404916	YES	YES
WOVX	2416626	YES	YES
WOVX	4446	YES	YES
6RWA	2358288	YES	YES
6RWA	2363865	YES	YES
6RWA	2365527	YES	YES
6RWA	2367974	YES	YES
6RWA	2380125	YES	YES
6RWA	285734	NO	YES
KT7I	2363504	YES	YES
KT7I	2377799	YES	YES
KT7I	2414338	NO	NO
KT7I	285734	NO	YES
QYCH	2364037	YES	YES
QYCH	2366812	YES	YES
QYCH	2372159	YES	YES
QYCH	2373660	YES	YES
IKX3	2365527	YES	YES
IKX3	2371565	YES	YES
P170	2365527	YES	YES
P170	2365758	YES	YES
P170	2366812	YES	YES
P170	2383548	NO	YES
XBLR	2369280	YES	YES
XBLR	2374063	YES	YES
XBLR	2390563	YES	YES
XBLR	2403703	YES	YES
69JB	2371474	YES	YES
69JB	2375257	YES	YES
69JB	2380870	YES	YES
69JB	2387889	YES	YES
69JB	2395928	YES	YES
69JB	2404916	YES	YES
AIPD	2371474	YES	YES
AIPD	2381808	YES	YES
AIPD	2399953	YES	YES
C67Q	2374063	YES	YES
C67Q	2376679	YES	YES
C67Q	2377261	YES	YES
C67Q	2417492	YES	YES
8OOQ	2375257	NO	YES
8OOQ	2381808	YES	YES
8OOQ	2386065	YES	YES
8OOQ	2386367	YES	YES
8OOQ	2416626	YES	YES
ATCZ	2385290	NO	YES
8AO7	2386065	YES	YES
8AO7	2386367	NO	YES
8AO7	2394267	YES	YES
8AO7	2403703	YES	YES
8AO7	2404384	YES	YES
8AO7	2407783	YES	YES
08K4	2388957	NO	YES
08K4	2405721	YES	YES
08K4	2405794	YES	YES
08K4	2406780	YES	YES
UM4Y	2388957	YES	YES
UM4Y	2394267	YES	YES
UM4Y	2399953	YES	YES
S9JK	2404384	YES	YES
S9JK	2405721	YES	YES
S9JK	2408710	YES	YES
S9JK	2412124	YES	YES
S9JK	2416626	YES	YES
2E2I	2408710	YES	YES
2E2I	2412523	YES	YES
